"FABLE_Exporter","FABLE_Importer","Year","FABLE_Item","adv_ij_agg","sdt_ij_agg","Regional_lv"
"GRC","R_ASP",2000,"Coffee",0.215113086676984,265.114894118829,"R_OEU"
"IDN","R_ASP",2000,"Coffee",0.197760317480952,178.625684893996,"R_ASP"
"IND","R_ASP",2000,"Coffee",0.214359755018254,251.061296742454,"R_ASP"
"IRL","R_ASP",2000,"Coffee",0.215113086676984,265.114894118829,"R_OEU"
"MEX","R_ASP",2000,"Coffee",0.213802695368254,64.5603998571597,"R_CSA"
"NOR","R_ASP",2000,"Coffee",0.215113086676984,265.114894118829,"R_OEU"
"NPL","R_ASP",2000,"Coffee",0.212069437502381,263.705061687977,"R_ASP"
"RUS","R_ASP",2000,"Coffee",0.21515190171746,265.16654259147,"R_NEU"
"RWA","R_ASP",2000,"Coffee",0.211103006211111,131.52209484219,"R_SSA"
"SWE","R_ASP",2000,"Coffee",0.215113086676984,265.114894118829,"R_OEU"
"TUR","R_ASP",2000,"Coffee",0.2178255145,255.401668420816,"R_NEU"
"USA","R_ASP",2000,"Coffee",0.215113086676984,1309.45555534138,"R_WRL"
"R_NMC","R_CSA",2000,"Coffee",0.16358843537415,273.480594537815,"R_NMC"
"R_SSA","R_CSA",2000,"Coffee",0.16358843537415,127.337269430288,"R_SSA"
"R_NEU","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_NEU"
"ARG","R_CSA",2000,"Coffee",0.151105442176871,177.534725544432,"R_CSA"
"AUS","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_ASP"
"R_OEU","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_OEU"
"R_ASP","R_CSA",2000,"Coffee",0.16358843537415,143.62095,"R_ASP"
"BRA","R_CSA",2000,"Coffee",0.151105442176871,101.572132936508,"R_CSA"
"CAN","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_WRL"
"CHN","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_ASP"
"COL","R_CSA",2000,"Coffee",0.135656462585034,203.421625,"R_CSA"
"DEU","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_OEU"
"DNK","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_OEU"
"ETH","R_CSA",2000,"Coffee",0.16358843537415,146.673107142857,"R_SSA"
"FIN","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_OEU"
"GBR","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_OEU"
"GRC","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_OEU"
"IDN","R_CSA",2000,"Coffee",0.16358843537415,152.524737394958,"R_ASP"
"IND","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_ASP"
"IRL","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_OEU"
"MEX","R_CSA",2000,"Coffee",0.157397959183674,48.3706932773109,"R_CSA"
"NOR","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_OEU"
"NPL","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_ASP"
"RUS","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_NEU"
"RWA","R_CSA",2000,"Coffee",0.16358843537415,98.5467731092437,"R_SSA"
"SWE","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_OEU"
"TUR","R_CSA",2000,"Coffee",0.16358843537415,196.625178633767,"R_NEU"
"USA","R_CSA",2000,"Coffee",0.16358843537415,971.171134453782,"R_WRL"
"R_NMC","BRA",2000,"Coffee",0.137857142857143,226.788785714286,"R_NMC"
"R_SSA","BRA",2000,"Coffee",0.137857142857143,105.596760015361,"R_SSA"
"R_NEU","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_NEU"
"ARG","BRA",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"AUS","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_ASP"
"R_OEU","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"R_ASP","BRA",2000,"Coffee",0.137857142857143,119.1003,"R_ASP"
"R_CSA","BRA",2000,"Coffee",0.125324675324675,178.542545454545,"R_CSA"
"CAN","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_WRL"
"CHN","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_ASP"
"COL","BRA",2000,"Coffee",0.137857142857143,185.831428571429,"R_CSA"
"DEU","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"DNK","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"ETH","BRA",2000,"Coffee",0.137857142857143,121.631357142857,"R_SSA"
"FIN","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"GBR","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"GRC","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"IDN","BRA",2000,"Coffee",0.137857142857143,126.483928571429,"R_ASP"
"IND","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_ASP"
"IRL","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"MEX","BRA",2000,"Coffee",0.137857142857143,42.0464285714286,"R_CSA"
