FABLE_Exporter,FABLE_Importer,dist_adj,Year,FABLE_Item,Q_ij,net_trade_ij,is_court,base_cost,beta,ln_dist,ln_quantity_kt,cost_per_tonne_km,transport_cost_usd_t,Regional_lv_i,Regional_lv_j
RUS,R_OEU,2673.2704285714285,2020,Rice,26.7597444,25.8644627,FALSE,0.003,0.26,7.89105788145604,3.2868986836449046,0.02258799004320368,60.38380582336226,R_NEU,R_OEU
RUS,R_OEU,2673.2704285714285,2020,Soyabean,1.1465642,-127.8914885,FALSE,0.003,0.26,7.89105788145604,0.13676981825919682,0.02331086683614606,62.31625097743568,R_NEU,R_OEU
RUS,R_OEU,2673.2704285714285,2020,Wheat,503.7608084,469.79656095,FALSE,0.003,0.26,7.89105788145604,6.2221015689116115,0.02193462244792576,58.637177551918974,R_NEU,R_OEU
RUS,R_OEU,2673.2704285714285,2020,Palm Oil,0,0,FALSE,0.003,0.26,7.89105788145604,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
RUS,R_ASP,8802.10325,2020,Cocoa,14.2350535,-5.2566948,FALSE,0.003,0.26,9.082745977590807,2.655707479065053,0.030987043578860337,272.75115699337823,R_NEU,R_ASP
RUS,R_ASP,8802.10325,2020,Coffee,0.3138735,-81.81729495,FALSE,0.003,0.26,9.082745977590807,-1.1587652404883282,0.03219186868167408,283.3561519465366,R_NEU,R_ASP
RUS,R_ASP,8802.10325,2020,Corn,801.2848306,801.2848306,FALSE,0.003,0.26,9.082745977590807,6.686216477617686,0.029762942460130726,261.9764925578797,R_NEU,R_ASP
RUS,R_ASP,8802.10325,2020,Palm_oil,0,-10.077801,FALSE,0.003,0.26,9.082745977590807,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,R_ASP,8802.10325,2020,Rice,15.0505219,-113.4421246,FALSE,0.003,0.26,9.082745977590807,2.7114126683344897,0.03096978699443847,272.5992627555546,R_NEU,R_ASP
RUS,R_ASP,8802.10325,2020,Soyabean,21.287786,17.742095,FALSE,0.003,0.26,9.082745977590807,3.0581334810130603,0.030862594234475856,271.65574101471117,R_NEU,R_ASP
RUS,R_ASP,8802.10325,2020,Wheat,3565.7539443,3563.88482235,FALSE,0.003,0.26,9.082745977590807,8.179130795565719,0.02932190755872855,258.09445781888417,R_NEU,R_ASP
RUS,R_ASP,8802.10325,2020,Palm Oil,0,0,FALSE,0.003,0.26,9.082745977590807,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,R_CSA,11583.981304347826,2020,Cocoa,0.1350442,-0.0512324,FALSE,0.003,0.26,9.357378500703945,-2.002153146722409,0.03486739773613116,403.90328350660303,R_NEU,R_CSA
RUS,R_CSA,11583.981304347826,2020,Coffee,0.0193986,-13.21522205,FALSE,0.003,0.26,9.357378500703945,-3.9425543804653236,0.03555057187635216,411.81715997453705,R_NEU,R_CSA
RUS,R_CSA,11583.981304347826,2020,Corn,0,-0.330015,FALSE,0.003,0.26,9.357378500703945,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,R_CSA,11583.981304347826,2020,Soyabean,0,-688.336176,FALSE,0.003,0.26,9.357378500703945,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,R_CSA,11583.981304347826,2020,Wheat,102.4023,102.4023,FALSE,0.003,0.26,9.357378500703945,4.628909173290665,0.03263030987269052,377.9888995203233,R_NEU,R_CSA
RUS,R_CSA,11583.981304347826,2020,Palm_oil,0,0,FALSE,0.003,0.26,9.357378500703945,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
