"FABLE_Exporter","FABLE_Item","Year","prodprice_i_agg"
"R_OEU","Corn",2005,115.1
"R_OEU","Rice",2005,214.1
"R_OEU","Soyabean",2005,261.3
"R_OEU","Wheat",2005,117.9
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"R_SSA","Soyabean",2005,365.9
"R_SSA","Corn",2005,196.85
"R_ASP","Corn",2005,204.8
"R_ASP","Rice",2005,189.3
"R_ASP","Soyabean",2005,394.7
"R_SSA","Cocoa",2005,1061.35
"R_SSA","Coffee",2005,854.55
"CAN","Corn",2005,90
"CAN","Soyabean",2005,226.9
"CAN","Wheat",2005,98.2
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Wheat",2005,174.15
"CHN","Corn",2005,189.2
"CHN","Rice",2005,321
"CHN","Soyabean",2005,401.5
"CHN","Wheat",2005,171.2
"COL","Cocoa",2005,1596.4
"COL","Coffee",2005,1612.7
"COL","Corn",2005,217.9
"COL","Palm Oil",2005,469.3
"COL","Rice",2005,243.8
"COL","Soyabean",2005,356.8
"COL","Wheat",2005,234.1
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_SSA","Cocoa",2005,1061.35
"R_SSA","Coffee",2005,854.55
"R_SSA","Corn",2005,196.85
"R_SSA","Palm Oil",2005,760.55
"R_SSA","Rice",2005,257.8
"R_OEU","Corn",2005,115.1
"R_OEU","Soyabean",2005,261.3
"R_OEU","Wheat",2005,117.9
"R_OEU","Wheat",2005,117.9
"R_OEU","Corn",2005,115.1
"R_OEU","Wheat",2005,117.9
"DNK","Wheat",2005,125.9
"R_CSA","Cocoa",2005,1137.8
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Cocoa",2005,1137.8
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Soyabean",2005,199.2
"R_CSA","Wheat",2005,174.15
"R_NMC","Corn",2005,179.3
"R_NMC","Rice",2005,392.2
"R_NMC","Soyabean",2005,320.1
"R_NMC","Wheat",2005,208.2
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_OEU","Wheat",2005,117.9
"ETH","Coffee",2005,1438.5
"ETH","Corn",2005,144.6
"ETH","Soyabean",2005,171.9
"ETH","Wheat",2005,202
"R_ASP","Cocoa",2005,1327.3
"R_ASP","Corn",2005,204.8
"R_ASP","Rice",2005,189.3
"FIN","Wheat",2005,131.8
"R_OEU","Corn",2005,115.1
"R_OEU","Rice",2005,214.1
"R_OEU","Soyabean",2005,261.3
"R_OEU","Wheat",2005,117.9
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"DEU","Corn",2005,119.4
"DEU","Wheat",2005,123.1
"R_SSA","Cocoa",2005,1061.35
"R_SSA","Corn",2005,196.85
"R_SSA","Palm Oil",2005,760.55
"R_SSA","Rice",2005,257.8
"GRC","Corn",2005,168.6
"GRC","Rice",2005,190.6
"GRC","Wheat",2005,172.6
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"R_CSA","Cocoa",2005,1137.8
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Palm Oil",2005,NA
"R_CSA","Rice",2005,230
"R_OEU","Corn",2005,115.1
"R_OEU","Rice",2005,214.1
"R_OEU","Soyabean",2005,261.3
"R_OEU","Wheat",2005,117.9
"IND","Corn",2005,127.8
"IND","Rice",2005,203.6
"IND","Soyabean",2005,229
"IND","Wheat",2005,188.5
"IDN","Cocoa",2005,928.5
"IDN","Coffee",2005,658
"IDN","Corn",2005,137.9
"IDN","Rice",2005,210.1
"IDN","Soyabean",2005,401.2
"R_NMC","Corn",2005,179.3
"R_NMC","Rice",2005,392.2
"R_NMC","Soyabean",2005,320.1
"R_NMC","Wheat",2005,208.2
"R_NMC","Corn",2005,179.3
"R_NMC","Rice",2005,392.2
"R_NMC","Wheat",2005,208.2
"IRL","Wheat",2005,130.6
"R_NMC","Corn",2005,179.3
"R_NMC","Wheat",2005,208.2
"R_OEU","Corn",2005,115.1
"R_OEU","Rice",2005,214.1
"R_OEU","Soyabean",2005,261.3
"R_OEU","Wheat",2005,117.9
"R_CSA","Cocoa",2005,1137.8
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_ASP","Rice",2005,189.3
"R_ASP","Soyabean",2005,394.7
"R_ASP","Wheat",2005,183.7
"R_NMC","Corn",2005,179.3
"R_NMC","Wheat",2005,208.2
"R_NMC","Corn",2005,179.3
"R_NMC","Rice",2005,392.2
"R_NMC","Wheat",2005,208.2
"R_SSA","Coffee",2005,854.55
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"R_SSA","Wheat",2005,258.1
"R_NMC","Corn",2005,179.3
"R_NMC","Rice",2005,392.2
"R_NMC","Wheat",2005,208.2
"R_OEU","Wheat",2005,117.9
"R_NMC","Corn",2005,179.3
"R_NMC","Wheat",2005,208.2
"R_OEU","Corn",2005,115.1
"R_OEU","Wheat",2005,117.9
"R_OEU","Corn",2005,115.1
"R_OEU","Wheat",2005,117.9
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"R_SSA","Soyabean",2005,365.9
"R_ASP","Palm Oil",2005,368.1
"R_ASP","Rice",2005,189.3
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"MEX","Cocoa",2005,1639.9
"MEX","Coffee",2005,207.4
"MEX","Corn",2005,144.8
"MEX","Rice",2005,174.7
"MEX","Soyabean",2005,210.7
"MEX","Wheat",2005,149
"R_ASP","Wheat",2005,183.7
"R_NMC","Corn",2005,179.3
"R_NMC","Wheat",2005,208.2
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"R_SSA","Corn",2005,196.85
"R_SSA","Wheat",2005,258.1
"NPL","Coffee",2005,1368.7
"NPL","Corn",2005,139.4
"NPL","Rice",2005,150.9
"NPL","Soyabean",2005,432.8
"NPL","Wheat",2005,165.2
"R_OEU","Corn",2005,115.1
"R_OEU","Wheat",2005,117.9
"R_ASP","Corn",2005,204.8
"R_ASP","Wheat",2005,183.7
"R_CSA","Cocoa",2005,1137.8
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Soyabean",2005,199.2
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"R_SSA","Soyabean",2005,365.9
"R_SSA","Wheat",2005,258.1
"R_NEU","Corn",2005,146.4
"R_NEU","Rice",2005,681.509439011837
"R_NEU","Wheat",2005,157.1
"NOR","Wheat",2005,317.7
"R_NMC","Corn",2005,179.3
"R_NMC","Soyabean",2005,320.1
"R_NMC","Wheat",2005,208.2
"R_NMC","Corn",2005,179.3
"R_NMC","Wheat",2005,208.2
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Soyabean",2005,199.2
"R_CSA","Wheat",2005,174.15
"R_CSA","Cocoa",2005,1137.8
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Soyabean",2005,199.2
"R_CSA","Wheat",2005,174.15
"R_ASP","Cocoa",2005,1327.3
"R_ASP","Coffee",2005,714.8
"R_ASP","Corn",2005,204.8
"R_ASP","Rice",2005,189.3
"R_OEU","Corn",2005,115.1
"R_OEU","Wheat",2005,117.9
"R_OEU","Corn",2005,115.1
"R_OEU","Rice",2005,214.1
"R_OEU","Wheat",2005,117.9
"R_NMC","Corn",2005,179.3
"R_NMC","Wheat",2005,208.2
"R_ASP","Corn",2005,204.8
"R_ASP","Rice",2005,189.3
"R_ASP","Soyabean",2005,394.7
"R_NEU","Corn",2005,146.4
"R_NEU","Wheat",2005,157.1
"R_OEU","Corn",2005,115.1
"R_OEU","Soyabean",2005,261.3
"R_OEU","Wheat",2005,117.9
"RUS","Corn",2005,84.4
"RUS","Soyabean",2005,228.9
"RUS","Wheat",2005,88.7
"RWA","Coffee",2005,896.3
"R_NMC","Wheat",2005,208.2
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"R_NEU","Corn",2005,146.4
"R_NEU","Soyabean",2005,267.1
"R_NEU","Wheat",2005,157.1
"R_OEU","Corn",2005,115.1
"R_OEU","Soyabean",2005,261.3
"R_OEU","Wheat",2005,117.9
"R_OEU","Corn",2005,115.1
"R_OEU","Wheat",2005,117.9
"R_SSA","Corn",2005,196.85
"R_SSA","Soyabean",2005,365.9
"R_SSA","Wheat",2005,258.1
"R_OEU","Corn",2005,115.1
"R_OEU","Rice",2005,214.1
"R_OEU","Soyabean",2005,261.3
"R_OEU","Wheat",2005,117.9
"R_ASP","Coffee",2005,714.8
"R_ASP","Corn",2005,204.8
"R_ASP","Rice",2005,189.3
"R_ASP","Soyabean",2005,394.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Soyabean",2005,199.2
"SWE","Wheat",2005,121.7
"R_NEU","Corn",2005,146.4
"R_NEU","Wheat",2005,157.1
"R_NMC","Corn",2005,179.3
"R_NMC","Rice",2005,392.2
"R_NMC","Wheat",2005,208.2
"R_ASP","Coffee",2005,714.8
"R_ASP","Corn",2005,204.8
"R_ASP","Rice",2005,189.3
"R_ASP","Soyabean",2005,394.7
"R_SSA","Cocoa",2005,1061.35
"R_SSA","Coffee",2005,854.55
"R_SSA","Corn",2005,196.85
"R_SSA","Rice",2005,257.8
"R_NMC","Wheat",2005,208.2
"TUR","Corn",2005,260.5
"TUR","Rice",2005,543.3
"TUR","Soyabean",2005,357.3
"TUR","Wheat",2005,267.9
"R_OEU","Corn",2005,115.1
"R_OEU","Rice",2005,214.1
"R_OEU","Wheat",2005,117.9
