"FABLE_Exporter","FABLE_Item","Year","prodprice_i_agg","raw_roll","prodprice_i_agg_lisse","Regional_lv","regional_mean","world_mean","prodprice_i_agg_imp","is_imputed_roll","local_median_roll","rel_deviation_roll","Is_Second_Outlier","prodprice_i_agg_imp_final"
"R_SSA","Corn",2015,262.179711959925,270.543237319975,270.543237319975,"R_SSA",276.992190217769,238.244475772679,270.543237319975,TRUE,240.683333333333,0.124063031590506,FALSE,270.543237319975
"CAN","Corn",2015,150.4,154.8,154.8,"R_WRL",147.4,238.244475772679,154.8,TRUE,139.066666666667,0.11313518696069,FALSE,154.8
"CAN","Soyabean",2015,329.6,361.833333333333,361.833333333333,"R_WRL",355.583333333333,445.172222222222,361.833333333333,TRUE,311.2,0.162703513281919,FALSE,361.833333333333
"CAN","Wheat",2015,181.4,182.7,182.7,"R_WRL",181.85,243.130786770076,182.7,TRUE,154.8,0.180232558139535,FALSE,182.7
"CHN","Corn",2015,432.4,379.533333333333,379.533333333333,"R_ASP",294.956666666667,238.244475772679,379.533333333333,TRUE,258.483333333333,0.468308723966729,FALSE,379.533333333333
"CHN","Palm Oil",2015,1038,1103.43333333333,1103.43333333333,"R_ASP",871.583333333333,725.377777777778,1103.43333333333,TRUE,541.833333333333,1.03648108274377,TRUE,1064.5957284742
"CHN","Soyabean",2015,808.2,753.133333333333,753.133333333333,"R_ASP",592.916666666667,445.172222222222,753.133333333333,TRUE,565.25,0.332389798024473,FALSE,753.133333333333
"COL","Cocoa",2015,2588.3,1777.43333333333,1777.43333333333,"R_CSA",2039.70353145472,1802.25873500935,1777.43333333333,TRUE,1572.98333333333,0.129975948039288,FALSE,1777.43333333333
"COL","Coffee",2015,2091.5,2579.58933296526,2579.58933296526,"R_CSA",1918.57156571151,2907.16163001423,2579.58933296526,TRUE,2202.56876486647,0.171173120273338,FALSE,2579.58933296526
"COL","Corn",2015,321.5,323.4,323.4,"R_CSA",227.95,238.244475772679,323.4,TRUE,291.766666666667,0.108419970295899,FALSE,323.4
"COL","Palm Oil",2015,774.1,763.333333333333,763.333333333333,"R_CSA",494.85,725.377777777778,763.333333333333,TRUE,650.883333333333,0.172765216500653,FALSE,763.333333333333
"COL","Rice",2015,439.7,425.866666666667,425.866666666667,"R_CSA",279.566761904762,352.297054245285,425.866666666667,TRUE,326.374797799729,0.304839312157882,FALSE,425.866666666667
"COL","Soyabean",2015,462.3,455.266666666667,455.266666666667,"R_CSA",361.71,445.172222222222,455.266666666667,TRUE,395.094444444444,0.152298325294937,FALSE,455.266666666667
"COL","Wheat",2015,281.5,308.833333333333,308.833333333333,"R_CSA",205.66522993311,243.130786770076,308.833333333333,TRUE,333.266666666667,0.0733146629325865,FALSE,308.833333333333
"DNK","Wheat",2015,170.8,182.566666666667,182.566666666667,"R_OEU",209.537037037037,243.130786770076,182.566666666667,TRUE,172.333333333333,0.0593810444874277,FALSE,182.566666666667
"R_NMC","Soyabean",2015,568.3,537.133333333333,537.133333333333,"R_NMC",537.133333333333,445.172222222222,537.133333333333,TRUE,376.333333333333,0.427280779450841,FALSE,537.133333333333
"ETH","Corn",2015,199.3,210.733333333333,210.733333333333,"R_SSA",276.992190217769,238.244475772679,210.733333333333,TRUE,159.249545602077,0.323290013397593,FALSE,210.733333333333
"ETH","Rice",2015,412.6,432.566666666667,432.566666666667,"R_SSA",588.644444444444,352.297054245285,432.566666666667,TRUE,445.920833333333,0.0299473935022098,FALSE,432.566666666667
"ETH","Soyabean",2015,417,400.966666666667,400.966666666667,"R_SSA",546.372222222222,445.172222222222,400.966666666667,TRUE,300.583333333333,0.333961741059052,FALSE,400.966666666667
"ETH","Wheat",2015,417.9,401.133333333333,401.133333333333,"R_SSA",487.75,243.130786770076,401.133333333333,TRUE,281.056217364906,0.427235223949971,FALSE,401.133333333333
"R_ASP","Cocoa",2015,2021.8,2106.98333333333,2106.98333333333,"R_ASP",1983.20833333333,1802.25873500935,2106.98333333333,TRUE,1575.65,0.337215329123431,FALSE,2106.98333333333
"FIN","Wheat",2015,187.4,193.3,193.3,"R_OEU",209.537037037037,243.130786770076,193.3,TRUE,178.666666666667,0.0819029850746266,FALSE,193.3
"DEU","Corn",2015,174.1,187.466666666667,187.466666666667,"R_OEU",199.338888888889,238.244475772679,187.466666666667,TRUE,183.3,0.0227314057101291,FALSE,187.466666666667
"DEU","Palm Oil",2015,574.3,677.266666666667,677.266666666667,"R_OEU",677.266666666667,725.377777777778,677.266666666667,TRUE,542.005,0.249557968407426,FALSE,677.266666666667
"DEU","Wheat",2015,179.7,186.266666666667,186.266666666667,"R_OEU",209.537037037037,243.130786770076,186.266666666667,TRUE,176.583333333333,0.0548371873525246,FALSE,186.266666666667
"GRC","Corn",2015,233.2,246.066666666667,246.066666666667,"R_OEU",199.338888888889,238.244475772679,246.066666666667,TRUE,220.333333333333,0.11679273827534,FALSE,246.066666666667
"GRC","Rice",2015,254.3,269.1,269.1,"R_OEU",312.866666666667,352.297054245285,269.1,TRUE,277.116666666667,0.0289288506645819,FALSE,269.1
"GRC","Wheat",2015,256.7,258.233333333333,258.233333333333,"R_OEU",209.537037037037,243.130786770076,258.233333333333,TRUE,211.55,0.220672811786024,FALSE,258.233333333333
