"FABLE_Exporter","FABLE_Importer","dist_adj","Year","FABLE_Item","Q_ij","net_trade_ij","ln_dist","ln_quantity_kt","cost_per_tonne_km","transport_cost_usd_t"
"R_SSA","IRL",6582.01986842105,2000,"Wheat",0.071225,-36.3597696,8.7920969480981,-2.64191139859817,0.0151474080059165,99.7005404500226
"R_SSA","IRL",6582.01986842105,2005,"Palm_oil",0.0228182,0.0228182,8.7920969480981,-3.78019681583629,0.0153208137964145,100.84190080838
"R_SSA","IRL",6582.01986842105,2005,"Rice",0,-0.0007761,8.7920969480981,0,0,0
"R_SSA","IRL",6582.01986842105,2005,"Soyabean",0.044209,0.044209,8.7920969480981,-3.1188268907167,0.0152198208782027,100.17716341414
"R_SSA","IRL",6582.01986842105,2005,"Wheat",0.1719633,-61.1640866,8.7920969480981,-1.76047419702877,0.0150144798165681,98.825604466658
"R_SSA","IRL",6582.01986842105,2010,"Cocoa",4.9870422,4.9284188,8.7920969480981,1.60684298852939,0.0145173122386098,95.5532375906019
"R_SSA","IRL",6582.01986842105,2015,"Rice",0.0586306,0.0586306,8.7920969480981,-2.83649853438961,0.0151769116091007,99.8947337523707
"R_SSA","IRL",6582.01986842105,2010,"Corn",0.0073461,-0.0075101,8.7920969480981,-4.91358571882679,0.0154954459612292,101.991333186855
"R_SSA","IRL",6582.01986842105,2015,"Corn",0.0333228,-0.0198022,8.7920969480981,-3.40151343160068,0.0152629061327882,100.460751415857
"R_SSA","IRL",6582.01986842105,2015,"Palm_oil",0.0134375,0.0134375,8.7920969480981,-4.30970597309426,0.0154021540704814,101.377284108391
"R_SSA","IRL",6582.01986842105,2005,"Coffee",0.1567671,0.153741,8.7920969480981,-1.85299401451,0.0150283776140072,98.9170800455294
"R_SSA","IRL",6582.01986842105,2015,"Wheat",0.1307274,-101.3501195,8.7920969480981,-2.03464103992558,0.0150557010234786,99.0969232695431
"R_SSA","IRL",6582.01986842105,2020,"Cocoa",2.695266,2.592193,8.7920969480981,0.991496900789009,0.0146069193657425,96.1430334817412
"R_SSA","IRL",6582.01986842105,2020,"Coffee",0.3285809,0.3285809,8.7920969480981,-1.11297220044872,0.0149175748294117,98.1877739158457
"R_SSA","IRL",6582.01986842105,2005,"Corn",0.0485098,0.0485098,8.7920969480981,-3.02598943959478,0.0152056977412286,100.084204645972
"R_SSA","IRL",6582.01986842105,2005,"Cocoa",6.9130535,6.8857925,8.7920969480981,1.93341143597557,0.0144699806045773,95.2416998349948
"R_SSA","MEX",12577.1857631579,2000,"Cocoa",4.3267207,4.2849549,9.43963979800709,1.46480991097361,0.0172036807235399,216.37388827002
"R_SSA","MEX",12577.1857631579,2000,"Wheat",0,-0.005178,9.43963979800709,0,0,0
"R_SSA","MEX",12577.1857631579,2005,"Corn",0,-26.637959,9.43963979800709,0,0,0
"R_SSA","MEX",12577.1857631579,2010,"Cocoa",23.498114,23.0323426,9.43963979800709,3.15692016261033,0.0169150245560516,212.743406029838
"R_SSA","MEX",12577.1857631579,2000,"Soyabean",0,-0.1871,9.43963979800709,0,0,0
"R_SSA","MEX",12577.1857631579,2005,"Cocoa",0.4135207,0.3799995,9.43963979800709,-0.883047705311882,0.01761237768898,221.514145925199
"R_SSA","MEX",12577.1857631579,2015,"Wheat",0,-35.712887,9.43963979800709,0,0,0
"R_SSA","MEX",12577.1857631579,2020,"Cocoa",16.4104255,15.378511,9.43963979800709,2.79791683407724,0.0169758591910742,213.508534535352
"R_SSA","MEX",12577.1857631579,2015,"Cocoa",27.4618433,25.9490119,9.43963979800709,3.31279752481672,0.0168886784011373,212.412045545337
"R_SSA","MEX",12577.1857631579,2020,"Coffee",1.59684,1.59684,9.43963979800709,0.468026676361514,0.0173760216344344,218.541451920931
"R_SSA","MEX",12577.1857631579,2020,"Corn",0,-131.6434863,9.43963979800709,0,0,0
"R_SSA","MEX",12577.1857631579,2020,"Wheat",0,-0.2130563,9.43963979800709,0,0,0
"R_SSA","MEX",12577.1857631579,2010,"Wheat",0,-0.0463419,9.43963979800709,0,0,0
"R_SSA","MEX",12577.1857631579,2015,"Coffee",1.0944,1.0944,9.43963979800709,0.090206267886149,0.0174417959665324,219.368707914176
"R_SSA","MEX",12577.1857631579,2015,"Corn",0.185237,-51.3428876,9.43963979800709,-1.68611919270695,0.0177543871278994,223.300225018611
"R_SSA","MEX",12577.1857631579,2010,"Corn",0,-0.0018331,9.43963979800709,0,0,0
"R_SSA","MEX",12577.1857631579,2010,"Coffee",0.0005811,-0.1147039,9.43963979800709,-7.45058769888321,0.0188079063616159,236.550532126123
"R_SSA","NOR",7117.33652631579,2015,"Coffee",1.59376535,1.59376535,8.87028885103677,0.466099361250767,0.0149854422887509,106.656435764724
"R_SSA","NOR",7117.33652631579,2010,"Coffee",1.6814549,1.6814549,8.87028885103677,0.519659430547975,0.0149774182245156,106.599325799253
